Title,internal id link,Alternative title,Resource Type,Creator,Contributor,Genre,Language,Publisher,Date created,Date issued,Date copyrighted,Summary,Description,Staff notes,Format,Extent,Measurements,Repository,Collection,Sub collection,Source,Provenance,Related finding aid,Related URL,Identifier,Call number,Collection identifier,Archival context,Published in,Subject,Keyword,Place (Topic),Time period (Topic),Material,Rights statement,Rights note,Rights holder,License,Access rights,Permanent link
St. Quentin (Aisne) Violation des caveaux mortuaires de l'Hotel Dieu. Le cadavre d'une religieuse,https://library.osu.edu/dc/concern/generic_works/5q47rr32m,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"A brick tomb with a damaged corpse among the rubble in St. Quentin, Aisne.","Square white sticker affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 24, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.24,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Saint-Quentin,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/391d3467-3749-41d9-9dff-6f8cb3c38edd
"[Interior of a Damaged Factory, Machinery in the Rubble]",https://library.osu.edu/dc/concern/generic_works/f7623f92r,null,Image,null,null,documentary photographs,null,null,1915~/1918~,null,null,"Inside a factory shelled during World War I. An entire wall is destroyed, and another brick building is visible beyond. Machinery and rubble cover the floor.",Square sticker with red line affixed with identifier 15.|Title supplied by cataloger.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 9, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.9,null,SPEC.RARE.0182,null,null,null,null,France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/1890d730-4e92-4cc4-a99d-fa668f2f0d39
3 - Plus au sud: Pont-Saint-Mard,https://library.osu.edu/dc/concern/generic_works/6969z323f,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Men stand outside among ruins and cut down trees in Pont-Saint-Mard.  Caption is preceded by a number 3, but it is not clear which set this refers to.",Round white sticker affixed with identifier D 4172.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 8, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.8,null,SPEC.RARE.0182,null,null,null,null,Hauts-de-France|Pont-Saint-Mard |France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/bff4c43c-c374-488b-974b-d2e5fb819151
Candor (Oise) dans la sacristie cercueils violée par les Allemands,https://library.osu.edu/dc/concern/generic_works/9019s4704,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"An empty coffin lies amid the rubble in a church in Candor, France. ",Round white sticker affixed with identifier Y 3260.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 7, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.7,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Candor ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/b15eb464-f38c-4536-952e-028f34f5234c
Montfaucon (Meuse) Tombe du cimetiére profanée et utilisée comme halle optique,https://library.osu.edu/dc/concern/generic_works/3b591c03t,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Tomb monument in a cemetery in Montfaucon, France, on which the Germans had mounted an observation tower.  ",Round white sticker affixed with identifier S 5002.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 6, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.6,null,SPEC.RARE.0182,null,null,null,null,France|Grand Est|Montfaucon-d'Argonne,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/496ac66e-80ff-4231-afbf-32d12402ef32
Villiers-Saint-Christophe (Aisne) Tombeau violés par les Allemands,https://library.osu.edu/dc/concern/generic_works/g445cg43f,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"View of arched brick compartments, perhaps in a crypt, tombs that were violated by the Germans.",Round white sticker affixed with identifier Y 3769.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 5, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.5,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Villers-Saint-Christophe ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/0fe04456-2cd2-4ea8-b8be-c745d4e664b2
Douai (Nord) Banque Dupont Piece pillée par les Allemands,https://library.osu.edu/dc/concern/generic_works/0p0969200,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,Photo of damaged area within Dupont Bank. The right wall and its doors are completely destroyed. There is broken furniture on the floor in the foreground and a wooden chair in the background.  ,Round white sticker affixed with identifier M 575.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 4, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.4,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/a344e966-b3c0-45f0-a0f6-689a88a2945c
Americans in France,https://library.osu.edu/dc/concern/generic_works/9880vt263,null,Image,"A.D. Handy, Stereopticons and Supplies (Boston, Ma) ",null,documentary photographs,eng,null,1915~/1918~,null,null,American soldiers at mealtime in a military camp in France during World War I.,Red and white sticker affixed with text AD Handy up in Boston and identifier 46.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 31, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.31,null,SPEC.RARE.0182,null,null,null,null,France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/5346d73e-11d0-4c09-94e0-958ae73992ef
"Nancy (Meurthe) La D.C.A. ferme Ste. Catherine, les ballons de protection",https://library.osu.edu/dc/concern/generic_works/zk51vk03f,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,Balloons rest in a ditch surrounded by military camouflage and brush. ,Round white sticker affixed with identifier Go 1629.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 30, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.30,null,SPEC.RARE.0182,null,null,null,null,France|Grand Est|Nancy,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/57592341-cf9e-4d2b-80c5-fde6bac7e014
Douai (Nord) La Bibliothèque des Avocats saccagée par les Allemands,https://library.osu.edu/dc/concern/generic_works/ks65hf59f,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Interior view of a room in a damaged law library in Douai, France.  Bookshelves with ladders line the room, although many of the books are on the floor.",Round white sticker affixed with identifier LM 579.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 3, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.3,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/d6421e3d-7008-4ed3-8eb1-42d6b5d67933
